bnum	seqid	name	start	stop	strand	length	PID	description	operon_id	type
1	b0001	thrL	190	255	+	22	1786182	thr operon leader peptide	1	ORF
2	b0002	thrA	337	2799	+	821	1786183	aspartokinase I, homoserine dehydrogenase I	1	ORF
3	b0003	thrB	2801	3733	+	311	1786184	homoserine kinase	1	ORF
4	b0004	thrC	3734	5020	+	429	1786185	threonine synthase	1	ORF
5	b0005	b0005	5234	5530	+	99	1786186	orf, hypothetical protein	2	ORF
6	b0006	yaaA	5683	6459	-	259	1786187	orf, hypothetical protein	3	ORF
7	b0007	yaaJ	6529	7959	-	477	1786188	inner membrane transport protein	4	ORF
8	b0008	talB	8238	9191	+	318	1786189	transaldolase B	5	ORF
9	b0009	mog	9306	9893	+	196	1786190	required for the efficient incorporation of molybdate into molybdoproteins	6	ORF
10	b0010	yaaH	9928	10494	-	189	1786191	orf, hypothetical protein	7	ORF
11	b0011	b0011	10643	11356	-	238	1786193	putative oxidoreductase	8	ORF
12	b0012	htgA	10725	11315	+	197	1786194	positive regulator for sigma 32 heat shock promoters	9	ORF
13	b0013	yaaI	11382	11786	-	135	1786195	orf, hypothetical protein	10	ORF
14	b0014	dnaK	12163	14079	+	639	1786196	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins	11	ORF
15	b0015	dnaJ	14168	15298	+	377	1786197	chaperone with DnaK; heat shock protein	11	ORF
16	b0016	yi81_1	15445	16557	+	371	1786198	IS186 hypothetical protein	12	ORF
17	b0017	yi82_1	15869	16177	-	103	1786199	IS186 and IS421 hypothetical protein	13	ORF
18	b0018	gef	16751	16960	-	70	1786200	Gef protein interferes with membrane function when in excess	14	ORF
19	b0019	nhaA	17489	18655	+	389	1786201	Na+/H antiporter, pH dependent	15	ORF
20	b0020	nhaR	18715	19620	+	302	1786202	transcriptional activator of nhaA	16	ORF
21	b0021	insB_1	19811	20314	-	168	1786203	IS1 protein InsB	17	ORF
22	b0022	insA_1	20233	20508	-	92	1786204	IS1 protein InsA	17	ORF
23	b0023	rpsT	20815	21078	-	88	1786206	30S ribosomal subunit protein S20	18	ORF
24	b0024	b0024	21181	21399	+	73	1786207	orf, hypothetical protein	19	ORF
25	b0025	ribF	21407	22348	+	314	1786208	putative regulator	19	ORF
26	b0026	ileS	22391	25207	+	939	2367096	isoleucine tRNA synthetase	20	ORF
27	b0027	lspA	25207	25701	+	165	1786210	prolipoprotein signal peptidase (SPase II)	20	ORF
28	b0028	slpA	25826	26275	+	150	1786211	probable FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase)	21	ORF
29	b0029	lytB	26277	27227	+	317	1786212	control of stringent response; involved in penicillin tolerance	20	ORF
30	b0030	yaaF	27293	28207	+	305	1786213	orf, hypothetical protein	22	ORF
31	b0031	dapB	28374	29195	+	274	1786214	dihydrodipicolinate reductase	23	ORF
32	b0032	carA	29651	30799	+	383	1786215	carbamoyl-phosphate synthetase, glutamine (small) subunit	24	ORF
33	b0033	carB	30817	34038	+	1074	1786216	carbamoyl-phosphate synthase large subunit	24	ORF
34	b0034	caiF	34195	34695	+	167	1786218	transcriptional regulator of cai operon	25	ORF
35	b0035	caiE	34781	35392	-	204	1786219	possible synthesis of cofactor for carnitine racemase and dehydratase	26	ORF
36	b0036	caiD	35377	36270	-	298	1786220	carnitine racemase	26	ORF
37	b0037	caiC	36271	37839	-	523	1786221	probable crotonobetaine/carnitine-CoA ligase	26	ORF
38	b0038	caiB	37898	39115	-	406	1786222	l-carnitine dehydratase	26	ORF
39	b0039	caiA	39244	40386	-	381	1786223	probable carnitine operon oxidoreductase	26	ORF
40	b0040	caiT	40417	41931	-	505	1786224	probable carnitine transporter	26	ORF
41	b0041	fixA	42367	43173	+	269	1786225	probable flavoprotein subunit, carnitine metabolism	27	ORF
42	b0042	fixB	43188	44129	+	314	1786226	probable flavoprotein subunit, carnitine metabolism	27	ORF
43	b0043	fixC	44180	45466	+	429	1786227	flavoprotein; electron transport	27	ORF
44	b0044	fixX	45463	45750	+	96	1786228	putative ferredoxin	27	ORF
45	b0045	yaaU	45807	47138	+	444	1786229	putative transport protein	28	ORF
46	b0046	yabF	47246	47776	+	177	1786231	putative NAD(P)H oxidoreductase	29	ORF
47	b0047	kefC	47769	49631	+	621	1786232	K+ efflux antiporter, glutathione-regulated	29	ORF
48	b0048	folA	49823	50302	+	160	1786233	dihydrofolate reductase type I; trimethoprim resistance	30	ORF
49	b0049	apaH	50380	51222	-	281	1786234	diadenosine tetraphosphatase	31	ORF
50	b0050	apaG	51229	51606	-	126	1786235	orf, hypothetical protein	32	ORF
51	b0051	ksgA	51609	52430	-	274	1786236	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	32	ORF
